EID_100001, Smith, Amélie, (024) 777 439 391, amélie.smith@heig-vd.ch, FEMALE, EC, Admin
EID_100055, De Villiers, Henriette, (024) 777 712 165, henriette.de villiers@heig-vd.ch, FEMALE, EC, Assistant
EID_100056, Delon, Fabienne, (024) 777 211 579, fabienne.delon@heig-vd.ch, FEMALE, TIN, Admin
EID_100057, Dupont, Henriette, (024) 777 867 206, henriette.dupont@heig-vd.ch, FEMALE, DEPG, Professor
EID_100058, Clément, Henri, (024) 777 819 773, henri.clément@heig-vd.ch, MALE, DEPG, Assistant
EID_100059, Delon, Amélie, (024) 777 229 120, amélie.delon@heig-vd.ch, FEMALE, TIC, Admin
EID_100060, Belmondo, Jimmy, (024) 777 145 444, jimmy.belmondo@heig-vd.ch, MALE, HEG, Assistant
EID_100061, Clément, Fabien, (024) 777 480 703, fabien.clément@heig-vd.ch, MALE, HEG, Assistant
EID_100062, Jones, Brigitte, (024) 777 749 475, brigitte.jones@heig-vd.ch, FEMALE, EC, Admin
EID_100063, Durant, Georgette, (024) 777 280 760, georgette.durant@heig-vd.ch, FEMALE, DEPG, Professor
EID_100064, De Villiers, Frédéric, (024) 777 531 204, frédéric.de villiers@heig-vd.ch, MALE, COMEM, Professor
EID_100065, Dupond, Georgette, (024) 777 772 354, georgette.dupond@heig-vd.ch, FEMALE, HEG, Professor
EID_100066, Marchand, Carine, (024) 777 647 228, carine.marchand@heig-vd.ch, FEMALE, EC, Professor
EID_100067, Dupond, Faustine, (024) 777 401 379, faustine.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100068, Bauer, Bryan, (024) 777 489 832, bryan.bauer@heig-vd.ch, MALE, COMEM, Admin
EID_100069, Marchand, Fabrice, (024) 777 556 730, fabrice.marchand@heig-vd.ch, MALE, DEPG, Professor
EID_100070, Simpson, Luc, (024) 777 449 504, luc.simpson@heig-vd.ch, MALE, COMEM, Student
EID_100071, Dupond, Carole, (024) 777 258 656, carole.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100072, Dupond, Carole, (024) 777 104 202, carole.dupond@heig-vd.ch, FEMALE, TIN, Professor
EID_100073, De Decker, Bernadette, (024) 777 542 515, bernadette.de decker@heig-vd.ch, FEMALE, HEG, Student
EID_100074, Simpson, Albert, (024) 777 240 489, albert.simpson@heig-vd.ch, MALE, EC, Admin
EID_100075, Dupond, Emilie, (024) 777 199 457, emilie.dupond@heig-vd.ch, FEMALE, EC, Admin
EID_100076, Belmondo, Edgar, (024) 777 622 867, edgar.belmondo@heig-vd.ch, MALE, COMEM, Student
EID_100077, Jones, Charles, (024) 777 466 428, charles.jones@heig-vd.ch, MALE, HEG, Assistant
EID_100078, Dupont, Marc, (024) 777 525 349, marc.dupont@heig-vd.ch, MALE, TIN, Admin
EID_100079, Durant, Jimmy, (024) 777 819 177, jimmy.durant@heig-vd.ch, MALE, TIC, Student
EID_100080, Dupont, Amélie, (024) 777 872 107, amélie.dupont@heig-vd.ch, FEMALE, HEG, Student
EID_100081, Marchand, Julien, (024) 777 339 846, julien.marchand@heig-vd.ch, MALE, EC, Professor
EID_100082, Durant, Bernard, (024) 777 163 536, bernard.durant@heig-vd.ch, MALE, DEPG, Assistant
EID_100083, Simpson, Emil, (024) 777 325 504, emil.simpson@heig-vd.ch, MALE, HEG, Professor
EID_100084, Simpson, Bryan, (024) 777 647 591, bryan.simpson@heig-vd.ch, MALE, HEG, Professor
EID_100085, Clément, Amélie, (024) 777 621 384, amélie.clément@heig-vd.ch, FEMALE, EC, Admin
EID_100086, Delon, Henriette, (024) 777 138 758, henriette.delon@heig-vd.ch, FEMALE, HEG, Student
EID_100087, Smith, Charles, (024) 777 516 635, charles.smith@heig-vd.ch, MALE, EC, Assistant
EID_100088, Belmondo, Emma, (024) 777 352 217, emma.belmondo@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100089, Marchand, Bernadette, (024) 777 678 527, bernadette.marchand@heig-vd.ch, FEMALE, HEG, Student
EID_100090, Clément, Anne, (024) 777 563 475, anne.clément@heig-vd.ch, FEMALE, COMEM, Professor
EID_100091, De Decker, Fabrice, (024) 777 706 838, fabrice.de decker@heig-vd.ch, MALE, DEPG, Student
EID_100092, Bauer, Henri, (024) 777 652 462, henri.bauer@heig-vd.ch, MALE, HEG, Student
EID_100093, Jones, Emilie, (024) 777 298 479, emilie.jones@heig-vd.ch, FEMALE, HEG, Student
EID_100094, Bauer, Gilles, (024) 777 187 449, gilles.bauer@heig-vd.ch, MALE, HEG, Assistant
EID_100095, Clément, Emilie, (024) 777 661 788, emilie.clément@heig-vd.ch, FEMALE, DEPG, Student
EID_100096, Delon, Gilles, (024) 777 201 217, gilles.delon@heig-vd.ch, MALE, DEPG, Assistant
EID_100097, Bauer, Emma, (024) 777 197 576, emma.bauer@heig-vd.ch, FEMALE, TIN, Professor
EID_100098, Bauer, Emma, (024) 777 232 239, emma.bauer@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100099, Dupont, Fabien, (024) 777 703 709, fabien.dupont@heig-vd.ch, MALE, TIC, Student
EID_100100, Belmondo, Frédéric, (024) 777 489 532, frédéric.belmondo@heig-vd.ch, MALE, TIN, Admin
EID_100101, De Decker, Bernadette, (024) 777 571 250, bernadette.de decker@heig-vd.ch, FEMALE, TIN, Student
EID_100102, Dupont, Evelyne, (024) 777 796 385, evelyne.dupont@heig-vd.ch, FEMALE, EC, Student
EID_100103, De Villiers, Guillaume, (024) 777 221 217, guillaume.de villiers@heig-vd.ch, MALE, COMEM, Professor
EID_100104, Smith, Henri, (024) 777 133 721, henri.smith@heig-vd.ch, MALE, DEPG, Admin
EID_100105, De Decker, Dorothé, (024) 777 864 823, dorothé.de decker@heig-vd.ch, FEMALE, TIC, Student
EID_100106, Simpson, Evelyne, (024) 777 797 699, evelyne.simpson@heig-vd.ch, FEMALE, HEG, Professor
EID_100107, Dupond, Amélie, (024) 777 661 327, amélie.dupond@heig-vd.ch, FEMALE, TIC, Admin
EID_100108, Durant, Danièle, (024) 777 474 882, danièle.durant@heig-vd.ch, FEMALE, HEG, Admin
EID_100109, Jones, Fabienne, (024) 777 833 457, fabienne.jones@heig-vd.ch, FEMALE, TIN, Professor
EID_100110, Smith, Guillaume, (024) 777 180 109, guillaume.smith@heig-vd.ch, MALE, DEPG, Assistant
EID_100111, Durant, Guillaume, (024) 777 317 130, guillaume.durant@heig-vd.ch, MALE, COMEM, Student
EID_100112, Marchand, Brigitte, (024) 777 551 244, brigitte.marchand@heig-vd.ch, FEMALE, HEG, Assistant
EID_100113, Simpson, Julie, (024) 777 782 573, julie.simpson@heig-vd.ch, FEMALE, TIN, Admin
EID_100114, Belmondo, Anne, (024) 777 784 733, anne.belmondo@heig-vd.ch, FEMALE, TIC, Admin
EID_100115, De Villiers, Henri, (024) 777 397 304, henri.de villiers@heig-vd.ch, MALE, DEPG, Assistant
EID_100116, Bauer, Gontran, (024) 777 428 317, gontran.bauer@heig-vd.ch, MALE, TIN, Admin
EID_100117, Clément, Emma, (024) 777 780 680, emma.clément@heig-vd.ch, FEMALE, TIN, Student
EID_100118, Durant, Amélie, (024) 777 172 194, amélie.durant@heig-vd.ch, FEMALE, TIN, Assistant
EID_100119, Simpson, Gilles, (024) 777 864 258, gilles.simpson@heig-vd.ch, MALE, TIC, Student
EID_100120, De Villiers, Carole, (024) 777 605 324, carole.de villiers@heig-vd.ch, FEMALE, TIN, Student
EID_100121, Belmondo, Aurore, (024) 777 560 694, aurore.belmondo@heig-vd.ch, FEMALE, TIC, Assistant
EID_100122, De Decker, Frédéric, (024) 777 568 828, frédéric.de decker@heig-vd.ch, MALE, DEPG, Admin
EID_100123, Delon, Bryan, (024) 777 854 123, bryan.delon@heig-vd.ch, MALE, COMEM, Professor
EID_100124, Bauer, Dorothé, (024) 777 291 130, dorothé.bauer@heig-vd.ch, FEMALE, COMEM, Student
EID_100125, De Decker, Emil, (024) 777 706 781, emil.de decker@heig-vd.ch, MALE, TIN, Student
EID_100126, Clément, Irène, (024) 777 681 279, irène.clément@heig-vd.ch, FEMALE, TIN, Admin
EID_100127, Smith, Emma, (024) 777 835 337, emma.smith@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100128, Clément, Edgar, (024) 777 227 487, edgar.clément@heig-vd.ch, MALE, COMEM, Student
EID_100129, Smith, Georgette, (024) 777 595 270, georgette.smith@heig-vd.ch, FEMALE, TIN, Professor
EID_100130, Marchand, Edgar, (024) 777 177 768, edgar.marchand@heig-vd.ch, MALE, DEPG, Professor
EID_100131, Durant, Henri, (024) 777 118 604, henri.durant@heig-vd.ch, MALE, DEPG, Admin
EID_100132, Delon, Evelyne, (024) 777 153 754, evelyne.delon@heig-vd.ch, FEMALE, HEG, Admin
EID_100133, Durant, Bryan, (024) 777 367 676, bryan.durant@heig-vd.ch, MALE, COMEM, Admin
EID_100134, Smith, Fabienne, (024) 777 790 746, fabienne.smith@heig-vd.ch, FEMALE, EC, Professor
EID_100135, Smith, Guillaume, (024) 777 277 449, guillaume.smith@heig-vd.ch, MALE, COMEM, Assistant
EID_100136, De Villiers, Bryan, (024) 777 461 177, bryan.de villiers@heig-vd.ch, MALE, TIN, Professor
EID_100137, De Decker, Lucien, (024) 777 446 343, lucien.de decker@heig-vd.ch, MALE, EC, Professor
EID_100138, De Decker, Fabien, (024) 777 141 754, fabien.de decker@heig-vd.ch, MALE, DEPG, Student
EID_100139, De Decker, Albert, (024) 777 800 356, albert.de decker@heig-vd.ch, MALE, HEG, Assistant
EID_100140, Durant, Fabien, (024) 777 129 897, fabien.durant@heig-vd.ch, MALE, HEG, Admin
EID_100141, Dupont, Bernadette, (024) 777 891 240, bernadette.dupont@heig-vd.ch, FEMALE, EC, Admin
EID_100142, Delon, Emilie, (024) 777 356 289, emilie.delon@heig-vd.ch, FEMALE, DEPG, Student
EID_100143, Delon, Didier, (024) 777 782 331, didier.delon@heig-vd.ch, MALE, TIN, Admin
EID_100144, De Decker, Amélie, (024) 777 644 158, amélie.de decker@heig-vd.ch, FEMALE, EC, Admin
EID_100145, Jones, Edgar, (024) 777 431 292, edgar.jones@heig-vd.ch, MALE, TIN, Student
EID_100146, Dupond, Albert, (024) 777 572 348, albert.dupond@heig-vd.ch, MALE, COMEM, Student
EID_100147, Dupond, Bernadette, (024) 777 423 392, bernadette.dupond@heig-vd.ch, FEMALE, COMEM, Professor
EID_100148, Clément, Charles, (024) 777 715 184, charles.clément@heig-vd.ch, MALE, HEG, Assistant
EID_100149, De Decker, Albert, (024) 777 767 581, albert.de decker@heig-vd.ch, MALE, EC, Student
EID_100150, De Decker, Gontran, (024) 777 211 251, gontran.de decker@heig-vd.ch, MALE, TIN, Assistant
EID_100151, Delon, Fabrice, (024) 777 514 303, fabrice.delon@heig-vd.ch, MALE, TIC, Professor
EID_100152, Durant, Lucien, (024) 777 745 890, lucien.durant@heig-vd.ch, MALE, TIN, Student
EID_100153, Clément, Luc, (024) 777 232 563, luc.clément@heig-vd.ch, MALE, COMEM, Student
EID_100154, Simpson, Henri, (024) 777 252 159, henri.simpson@heig-vd.ch, MALE, COMEM, Professor
EID_100155, Marchand, Luc, (024) 777 576 105, luc.marchand@heig-vd.ch, MALE, COMEM, Assistant
EID_100156, Smith, Bryan, (024) 777 459 899, bryan.smith@heig-vd.ch, MALE, HEG, Admin
EID_100157, Jones, Anne, (024) 777 396 125, anne.jones@heig-vd.ch, FEMALE, EC, Admin
EID_100158, De Decker, Dorothé, (024) 777 840 369, dorothé.de decker@heig-vd.ch, FEMALE, HEG, Student
EID_100159, Simpson, Frédéric, (024) 777 119 329, frédéric.simpson@heig-vd.ch, MALE, HEG, Student
EID_100160, Marchand, Marc, (024) 777 626 400, marc.marchand@heig-vd.ch, MALE, COMEM, Admin
EID_100161, De Decker, Emma, (024) 777 651 112, emma.de decker@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100162, Clément, Cédric, (024) 777 123 267, cédric.clément@heig-vd.ch, MALE, TIN, Admin
EID_100163, Jones, Anne, (024) 777 498 781, anne.jones@heig-vd.ch, FEMALE, COMEM, Professor
EID_100164, Dupont, Amélie, (024) 777 781 656, amélie.dupont@heig-vd.ch, FEMALE, TIN, Admin
EID_100165, Bauer, Lucien, (024) 777 249 737, lucien.bauer@heig-vd.ch, MALE, COMEM, Assistant
EID_100166, Marchand, Cédric, (024) 777 423 403, cédric.marchand@heig-vd.ch, MALE, TIC, Assistant
EID_100167, Dupond, Henriette, (024) 777 814 276, henriette.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100168, Clément, Faustine, (024) 777 134 746, faustine.clément@heig-vd.ch, FEMALE, COMEM, Admin
EID_100169, Durant, Evelyne, (024) 777 487 269, evelyne.durant@heig-vd.ch, FEMALE, TIN, Assistant
EID_100170, Durant, Bernadette, (024) 777 558 721, bernadette.durant@heig-vd.ch, FEMALE, HEG, Professor
EID_100171, Marchand, Christine, (024) 777 852 227, christine.marchand@heig-vd.ch, FEMALE, TIC, Professor
EID_100172, Simpson, Irène, (024) 777 781 790, irène.simpson@heig-vd.ch, FEMALE, TIN, Professor
EID_100173, Delon, Emma, (024) 777 297 118, emma.delon@heig-vd.ch, FEMALE, HEG, Admin
EID_100174, Marchand, Aurore, (024) 777 528 700, aurore.marchand@heig-vd.ch, FEMALE, COMEM, Professor
EID_100175, Delon, Guillaume, (024) 777 165 664, guillaume.delon@heig-vd.ch, MALE, HEG, Admin
EID_100176, Dupont, Emilie, (024) 777 173 393, emilie.dupont@heig-vd.ch, FEMALE, COMEM, Professor
EID_100177, Marchand, Dylan, (024) 777 686 572, dylan.marchand@heig-vd.ch, MALE, DEPG, Student
EID_100178, Smith, Charles, (024) 777 391 882, charles.smith@heig-vd.ch, MALE, COMEM, Admin
EID_100179, Simpson, Emilie, (024) 777 534 714, emilie.simpson@heig-vd.ch, FEMALE, COMEM, Professor
EID_100180, Dupont, Carine, (024) 777 255 290, carine.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_100181, Clément, Bryan, (024) 777 574 511, bryan.clément@heig-vd.ch, MALE, TIC, Professor
EID_100182, Belmondo, Henri, (024) 777 736 551, henri.belmondo@heig-vd.ch, MALE, TIN, Admin
EID_100183, Smith, Georgette, (024) 777 870 194, georgette.smith@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100184, Dupont, Fabien, (024) 777 288 401, fabien.dupont@heig-vd.ch, MALE, DEPG, Admin
EID_100185, Smith, Brigitte, (024) 777 126 305, brigitte.smith@heig-vd.ch, FEMALE, COMEM, Admin
EID_100186, Durant, Irène, (024) 777 309 164, irène.durant@heig-vd.ch, FEMALE, EC, Assistant
EID_100187, Dupond, Fabrice, (024) 777 709 603, fabrice.dupond@heig-vd.ch, MALE, TIN, Assistant
EID_100188, Jones, Brigitte, (024) 777 579 478, brigitte.jones@heig-vd.ch, FEMALE, TIC, Student
EID_100189, Bauer, Luc, (024) 777 522 749, luc.bauer@heig-vd.ch, MALE, TIC, Admin
EID_100190, Marchand, Gilles, (024) 777 482 609, gilles.marchand@heig-vd.ch, MALE, HEG, Student
EID_100191, Smith, Henri, (024) 777 850 124, henri.smith@heig-vd.ch, MALE, DEPG, Admin
EID_100192, Durant, Dylan, (024) 777 491 548, dylan.durant@heig-vd.ch, MALE, HEG, Student
EID_100193, Bauer, Danièle, (024) 777 396 468, danièle.bauer@heig-vd.ch, FEMALE, DEPG, Student
EID_100194, Smith, Lucien, (024) 777 565 536, lucien.smith@heig-vd.ch, MALE, COMEM, Professor
EID_100195, Delon, Anne, (024) 777 888 258, anne.delon@heig-vd.ch, FEMALE, TIC, Student
EID_100196, Delon, Dylan, (024) 777 463 241, dylan.delon@heig-vd.ch, MALE, EC, Assistant
EID_100197, Simpson, Gontran, (024) 777 594 482, gontran.simpson@heig-vd.ch, MALE, TIC, Student
EID_100198, Dupont, Frédéric, (024) 777 202 617, frédéric.dupont@heig-vd.ch, MALE, TIC, Student
EID_100199, De Decker, Danièle, (024) 777 368 199, danièle.de decker@heig-vd.ch, FEMALE, HEG, Assistant
EID_100200, Jones, Lucien, (024) 777 865 877, lucien.jones@heig-vd.ch, MALE, DEPG, Admin
EID_100201, Bauer, Dylan, (024) 777 329 314, dylan.bauer@heig-vd.ch, MALE, EC, Admin
EID_100202, Jones, Georgette, (024) 777 823 143, georgette.jones@heig-vd.ch, FEMALE, HEG, Student
EID_100203, Belmondo, Marc, (024) 777 851 200, marc.belmondo@heig-vd.ch, MALE, TIN, Admin
EID_100204, Delon, Christine, (024) 777 639 230, christine.delon@heig-vd.ch, FEMALE, COMEM, Professor
EID_100205, Clément, Emil, (024) 777 162 818, emil.clément@heig-vd.ch, MALE, TIN, Assistant
EID_100206, Simpson, Emma, (024) 777 457 708, emma.simpson@heig-vd.ch, FEMALE, TIC, Assistant
EID_100207, Durant, Amélie, (024) 777 462 602, amélie.durant@heig-vd.ch, FEMALE, EC, Student
EID_100208, Dupond, Fabienne, (024) 777 690 399, fabienne.dupond@heig-vd.ch, FEMALE, HEG, Admin
EID_100209, Durant, Danièle, (024) 777 452 400, danièle.durant@heig-vd.ch, FEMALE, HEG, Assistant
EID_100210, Delon, Marc, (024) 777 499 411, marc.delon@heig-vd.ch, MALE, DEPG, Student
EID_100211, Simpson, Emma, (024) 777 840 129, emma.simpson@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100212, Dupont, Albert, (024) 777 502 239, albert.dupont@heig-vd.ch, MALE, COMEM, Professor
EID_100213, De Villiers, Guillaume, (024) 777 389 202, guillaume.de villiers@heig-vd.ch, MALE, COMEM, Assistant
EID_100214, Marchand, Emma, (024) 777 342 350, emma.marchand@heig-vd.ch, FEMALE, TIN, Professor
EID_100215, De Decker, Evelyne, (024) 777 836 611, evelyne.de decker@heig-vd.ch, FEMALE, TIN, Professor
EID_100216, Jones, Bryan, (024) 777 601 844, bryan.jones@heig-vd.ch, MALE, HEG, Professor
EID_100217, De Villiers, Lucien, (024) 777 101 268, lucien.de villiers@heig-vd.ch, MALE, DEPG, Professor
EID_100218, Jones, Aurore, (024) 777 588 377, aurore.jones@heig-vd.ch, FEMALE, TIC, Admin
EID_100219, Bauer, Albert, (024) 777 605 348, albert.bauer@heig-vd.ch, MALE, TIN, Student
EID_100220, Smith, Brigitte, (024) 777 333 559, brigitte.smith@heig-vd.ch, FEMALE, COMEM, Admin
EID_100221, Dupond, Lucien, (024) 777 136 588, lucien.dupond@heig-vd.ch, MALE, COMEM, Student
EID_100222, De Decker, Gilles, (024) 777 635 367, gilles.de decker@heig-vd.ch, MALE, COMEM, Admin
EID_100223, De Villiers, Didier, (024) 777 683 866, didier.de villiers@heig-vd.ch, MALE, DEPG, Student
EID_100224, Delon, Amélie, (024) 777 346 379, amélie.delon@heig-vd.ch, FEMALE, TIC, Professor
EID_100225, Durant, Danièle, (024) 777 574 696, danièle.durant@heig-vd.ch, FEMALE, HEG, Professor
EID_100226, Bauer, Albert, (024) 777 173 232, albert.bauer@heig-vd.ch, MALE, TIN, Assistant
EID_100227, Dupond, Irène, (024) 777 541 225, irène.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100228, Delon, Charles, (024) 777 560 733, charles.delon@heig-vd.ch, MALE, HEG, Professor
EID_100229, Dupont, Danièle, (024) 777 348 713, danièle.dupont@heig-vd.ch, FEMALE, HEG, Student
EID_100230, De Decker, Georgette, (024) 777 595 126, georgette.de decker@heig-vd.ch, FEMALE, HEG, Student
EID_100231, De Villiers, Carole, (024) 777 574 300, carole.de villiers@heig-vd.ch, FEMALE, COMEM, Admin
EID_100232, De Decker, Albert, (024) 777 851 795, albert.de decker@heig-vd.ch, MALE, EC, Student
EID_100233, Durant, Lucien, (024) 777 674 671, lucien.durant@heig-vd.ch, MALE, COMEM, Admin
EID_100234, Bauer, Irène, (024) 777 175 211, irène.bauer@heig-vd.ch, FEMALE, HEG, Assistant
EID_100235, Dupond, Emilie, (024) 777 310 432, emilie.dupond@heig-vd.ch, FEMALE, EC, Professor
EID_100236, Bauer, Anne, (024) 777 866 512, anne.bauer@heig-vd.ch, FEMALE, COMEM, Admin
EID_100237, De Decker, Dorothé, (024) 777 589 734, dorothé.de decker@heig-vd.ch, FEMALE, TIC, Admin
EID_100238, Clément, Georgette, (024) 777 683 531, georgette.clément@heig-vd.ch, FEMALE, DEPG, Student
EID_100239, Clément, Lucien, (024) 777 513 646, lucien.clément@heig-vd.ch, MALE, DEPG, Professor
EID_100240, Jones, Fabienne, (024) 777 333 687, fabienne.jones@heig-vd.ch, FEMALE, TIC, Admin
EID_100241, De Decker, Aurore, (024) 777 801 187, aurore.de decker@heig-vd.ch, FEMALE, HEG, Professor
EID_100242, Jones, Bernard, (024) 777 761 403, bernard.jones@heig-vd.ch, MALE, TIN, Professor
EID_100243, Belmondo, Emil, (024) 777 150 777, emil.belmondo@heig-vd.ch, MALE, EC, Student
EID_100244, Clément, Luc, (024) 777 597 819, luc.clément@heig-vd.ch, MALE, TIC, Student
EID_100245, Smith, Marc, (024) 777 385 235, marc.smith@heig-vd.ch, MALE, EC, Student
EID_100246, Jones, Brigitte, (024) 777 483 482, brigitte.jones@heig-vd.ch, FEMALE, TIC, Student
EID_100247, Dupont, Albert, (024) 777 670 384, albert.dupont@heig-vd.ch, MALE, COMEM, Student
EID_100248, Belmondo, Henri, (024) 777 808 109, henri.belmondo@heig-vd.ch, MALE, EC, Assistant
EID_100249, Smith, Frédéric, (024) 777 754 228, frédéric.smith@heig-vd.ch, MALE, EC, Admin
EID_100250, Delon, Jimmy, (024) 777 563 834, jimmy.delon@heig-vd.ch, MALE, HEG, Admin
EID_100251, Smith, Aurore, (024) 777 704 801, aurore.smith@heig-vd.ch, FEMALE, TIC, Student
EID_100252, Delon, Fabienne, (024) 777 494 344, fabienne.delon@heig-vd.ch, FEMALE, TIN, Assistant
